"sid","cart","type","outcome","pre","software","interpolation","ptype","averaging","parameters","source","doi"
4,"","","","","","","","","","","10.2478/bhk-2021-0014"
5,"","","","","","","","","","","10.1152/japplphysiol.00250.2018"
6,"","","","","","","","","","","10.1123/ijsnem.2019-0237"
7,"","","","","","","","","","","10.1249/MSS.0000000000001289"
8,"","","","","","","","","","","10.1519/JSC.0000000000002389"
10,"","","","","","","","","","","10.1519/JSC.0000000000002259"
14,"","","","","","","","","","","10.1152/japplphysiol.00684.2018"
16,"","","","","","","","","","","10.1519/JSC.0000000000002696"
17,"","","","","","","","","","","10.3389/fendo.2019.00116"
18,"","","","","","","","","","","10.1016/j.wem.2018.01.005"
20,"","","","","","","","","","","10.3390/app12031371"
21,"","","","","","","","","","","10.2478/bhk-2020-0006"
25,"","","","","","","","","","","10.3390/ijerph16173037"
28,"","","","","","","","","","","10.1016/j.hlc.2018.12.007"
30,"","","","","","","","","","","10.1519/JSC.0000000000003437"
31,"","","","","","","","","","","10.3389/fphys.2021.701541"
32,"","","","","","","","","","","10.14814/phy2.14164"
33,"","","","","","","","","","","10.1080/00140139.2018.1473644"
36,"","","","","","","","","","","10.3390/healthcare9070851"
37,"","","","","","","","","","","10.3390/ijerph17114174"
39,"","","","","","","","","","","10.1080/09638288.2016.1260648"
40,"","","","","","","","","","","10.5114/hpc.2021.107781"
43,"","","","","","","","","","","10.1038/s41598-019-54912-6"
44,"","","","","","","","","","","10.2478/bhk-2019-0023"
45,"","","","","","","","","","","10.1016/j.scispo.2018.04.004"
51,"","","","","","","","","","","10.1016/j.resp.2018.07.013"
52,"","","","","","","","","","","10.1186/s12970-020-0341-4"
55,"","","","","","","","","","","10.1002/ppul.23896"
56,"","","","","","","","","","","10.1111/sms.13223"
59,"","","","","","","","","","","10.1249/MSS.0000000000001377"
60,"","","","","","","","","","","10.1371/journal.pone.0183926"
63,"","","","","","","","","","","10.23736/S0022-4707.19.09912-2"
64,"","","","","","","","","","","10.3389/fpsyg.2017.01344"
66,"","","","","","","","","","","10.1177/0031512518754584"
67,"","","","","","","","","","","10.12965/jer.1836454.227"
70,"","","","","","","","","","","10.1139/apnm-2018-0427"
73,"","","","","","","","","","","10.1111/sms.13886"
76,"","","","","","","","","","","10.1519/JSC.0000000000003837"
77,"","","","","","","","","","","10.1016/j.jtherbio.2018.10.004"
80,"","","","","","","","","","","10.1016/j.jsams.2017.08.005"
83,"","","","","","","","","","","10.1111/sms.12854"
87,"","","","","","","","","","","10.1111/anec.12521"
89,"","","","","","","","","","","10.1139/apnm-2020-0307"
90,"","","","","","","","","","","10.1016/j.physbeh.2020.113110"
94,"","","","","","","","","","","10.3390/app9030589"
95,"","","","","","","","","","","10.3390/nu9080820"
105,"","","","","","","","","","","10.1186/s13102-021-00375-0"
108,"","","","","","","","","","","10.1016/j.jshs.2017.01.009"
111,"","","","","","","","","","","10.1152/japplphysiol.00131.2019"
112,"","","","","","","","","","","10.3389/fphys.2017.00175"
113,"","","","","","","","","","","10.3233/IES-192229"
114,"","","","","","","","","","","10.1194/jlr.M091942"
117,"","","","","","","","","","","10.1016/j.resp.2016.12.003"
119,"","","","","","","","","","","10.1016/j.heliyon.2020.e05427"
120,"","","","","","","","","","","10.3390/sports7040082"
121,"","","","","","","","","","","10.1080/17461391.2020.1867650"
123,"","","","","","","","","","","10.1177/2047487318808014"
124,"","","","","","","","","","","10.1371/journal.pone.0170060"
126,"","","","","","","","","","","10.1186/s12970-020-00405-1"
127,"","","","","","","","","","","10.3389/fspor.2019.00017"
128,"","","","","","","","","","","10.1016/j.jelekin.2019.06.006"
131,"","","","","","","","","","","10.1097/JOM.0000000000001873"
132,"","","","","","","","","","","10.3389/fphys.2021.665462"
134,"","","","","","","","","","","10.1111/sms.12859"
136,"","","","","","","","","","","10.1155/2018/4081802"
137,"","","","","","","","","","","10.1515/hukin-2017-0055"
138,"","","","","","","","","","","10.1123/ijspp.2020-0483"
139,"","","","","","","","","","","10.1080/20018525.2018.1468714"
140,"","","","","","","","","","","10.1097/JSM.0000000000000331"
141,"","","","","","","","","","","10.3389/fphys.2017.00690"
143,"","","","","","","","","","","10.1007/s00421-020-04334-4"
145,"","","","","","","","","","","10.18869/acadpub.aassjournal.5.1.7"
146,"","","","","","","","","","","10.1016/j.jsams.2018.02.005"
147,"","","","","","","","","","","10.1007/s40519-016-0356-7"
151,"","","","","","","","","","","10.23736/S0022-4707.17.07845-8"
153,"","","","","","","","","","","10.1186/s13102-021-00231-1"
155,"","","","","","","","","","","10.2196/10338"
157,"","","","","","","","","","","10.3389/fphys.2018.01485"
158,"","","","","","","","","","","10.3390/biom9100630"
159,"","","","","","","","","","","10.5114/biolsport.2018.77828"
162,"","","","","","","","","","","10.1371/journal.pone.0237388"
164,"","","","","","","","","","","10.3390/ijerph17093190"
167,"","","","","","","","","","","10.1080/02640414.2019.1601149"
168,"","","","","","","","","","","10.1016/j.scispo.2018.12.010"
169,"","","","","","","","","","","10.3390/sports8090116"
170,"","","","","","","","","","","10.3390/ijerph16162845"
172,"","","","","","","","","","","10.3389/fnut.2018.00086"
173,"","","","","","","","","","","10.3390/ijerph18105050"
175,"","","","","","","","","","","10.1186/s12970-020-00392-3"
176,"","","","","","","","","","","10.1249/MSS.0000000000001353"
178,"","","","","","","","","","","10.3389/fphys.2018.01682"
179,"","","","","","","","","","","10.1113/JP279161"
182,"","","","","","","","","","","10.1590/1517-869220172303156004"
183,"","","","","","","","","","","10.1016/j.trci.2018.02.003"
184,"","","","","","","","","","","10.3390/ijerph17113943"
187,"","","","","","","","","","","10.1371/journal.pone.0166299"
190,"","","","","","","","","","","10.1139/apnm-2021-0383"
191,"","","","","","","","","","","10.3390/nu14010149"
194,"","","","","","","","","","","10.3390/sports5020025"
197,"","","","","","","","","","","10.1007/s00408-017-0039-9"
198,"","","","","","","","","","","10.3390/ijerph18030870"
199,"","","","","","","","","","","10.1016/j.orcp.2020.08.008"
200,"","","","","","","","","","","10.23736/S0022-4707.16.06358-1"
203,"","","","","","","","","","","10.1123/ijspp.2019-1001"
204,"","","","","","","","","","","10.1589/jpts.32.79"
205,"","","","","","","","","","","10.1038/s41598-022-05783-x"
207,"","","","","","","","","","","10.1186/s12970-019-0299-2"
209,"","","","","","","","","","","10.1080/02701367.2020.1817293"
212,"","","","","","","","","","","10.1080/10400435.2018.1529005"
214,"","","","","","","","","","","10.2337/dc16-2347"
216,"","","","","","","","","","","10.14712/18059694.2021.20"
218,"","","","","","","","","","","10.23736/S0022-4707.20.10380-3"
220,"","","","","","","","","","","10.1017/thg.2020.58"
223,"","","","","","","","","","","10.1055/a-1510-9135"
225,"","","","","","","","","","","10.1111/cpf.12299"
226,"","","","","","","","","","","10.29359/BJHPA.13.Spec.Iss1.06"
228,"","","","","","","","","","","10.14198/jhse.2018.13.Proc2.19"
229,"","","","","","","","","","","10.1152/japplphysiol.01122.2017"
230,"","","","","","","","","","","10.23736/S0022-4707.17.06853-0"
231,"","","","","","","","","","","10.23736/S0022-4707.17.06883-9"
232,"","","","","","","","","","","10.1186/s12970-020-00356-7"
234,"","","","","","","","","","","10.1152/japplphysiol.00585.2018"
235,"","","","","","","","","","","10.1249/MSS.0000000000001543"
237,"","","","","","","","","","","10.1123/ijspp.2019-0843"
239,"","","","","","","","","","","10.3390/sports8120163"
241,"","","","","","","","","","","10.1080/02701367.2020.1756196"
246,"","","","","","","","","","","10.1249/MSS.0000000000001773"
248,"","","","","","","","","","","10.3390/ijerph17186714"
251,"","","","","","","","","","","10.1186/s12872-021-02429-0"
253,"","","","","","","","","","","10.5114/biolsport.2020.98625"
254,"","","","","","","","","","","10.1249/MSS.0000000000002181"
255,"","","","","","","","","","","10.1590/1517-869220182406101651"
257,"","","","","","","","","","","10.1155/2019/3081029"
260,"","","","","","","","","","","10.3389/fphys.2020.00812"
264,"","","","","","","","","","","10.1371/journal.pone.0224948"
267,"","","","","","","","","","","10.2147/IJWH.S344233"
269,"","","","","","","","","","","10.1123/ijspp.2018-0539"
273,"","","","","","","","","","","10.4103/2045-9912.304222"
274,"","","","","","","","","","","10.3390/ijerph19010563"
275,"","","","","","","","","","","10.1080/17461391.2021.2001575"
276,"","","","","","","","","","","10.1371/journal.pone.0242551"
277,"","","","","","","","","","","10.1080/25787489.2020.1810452"
279,"","","","","","","","","","","10.1249/MSS.0000000000001099"
281,"","","","","","","","","","","10.3390/biology9110383"
282,"","","","","","","","","","","10.1080/02640414.2017.1346269"
283,"","","","","","","","","","","10.1186/s12970-019-0284-9"
286,"","","","","","","","","","","10.2196/28124"
287,"","","","","","","","","","","10.1123/ijspp.2018-0099"
291,"","","","","","","","","","","10.14814/phy2.14426"
292,"","","","","","","","","","","10.1007/s00421-019-04179-6"
293,"","","","","","","","","","","10.1080/07420528.2019.1592184"
295,"","","","","","","","","","","10.5606/tftrd.2021.6533"
296,"","","","","","","","","","","10.3164/jcbn.17-36"
301,"","","","","","","","","","","10.1016/j.jpsychires.2018.03.001"
302,"","","","","","","","","","","10.3390/ijerph18179193"
305,"","","","","","","","","","","10.1371/journal.pone.0234507"
307,"","","","","","","","","","","10.1519/JSC.0000000000003297"
309,"","","","","","","","","","","10.1080/02640414.2017.1329548"
314,"","","","","","","","","","","10.1519/JSC.0000000000002670"
316,"","","","","","","","","","","10.1007/s00421-018-3908-x"
318,"","","","","","","","","","","10.23736/S0025-7826.17.03010-1"
321,"","","","","","","","","","","10.1519/JSC.0000000000002363"
322,"","","","","","","","","","","10.51371/issn.1840-2976.2021.15.2.12"
329,"","","","","","","","","","","10.1113/EP086644"
331,"","","","","","","","","","","10.1519/JSC.0000000000004113"
332,"","","","","","","","","","","10.3357/AMHP.5624.2020"
333,"","","","","","","","","","","10.1152/ajpendo.00126.2018"
334,"","","","","","","","","","","10.1186/s40798-018-0160-1"
335,"","","","","","","","","","","10.1519/JSC.0000000000002418"
336,"","","","","","","","","","","10.1007/s00421-021-04632-5"
337,"","","","","","","","","","","10.5535/arm.2017.41.6.1047"
342,"","","","","","","","","","","10.1007/s00421-021-04676-7"
344,"","","","","","","","","","","10.1139/apnm-2020-0474"
346,"","","","","","","","","","","10.1123/ijspp.2020-0747"
347,"","","","","","","","","","","10.1007/s00421-020-04522-2"
348,"","","","","","","","","","","10.1016/j.amjms.2022.02.006"
351,"","","","","","","","","","","10.1123/ijsnem.2019-0309"
355,"","","","","","","","","","","10.1007/s00424-018-2127-y"
358,"","","","","","","","","","","10.1016/j.exger.2018.04.022"
360,"","","","","","","","","","","10.1097/JOM.0000000000001690"
362,"","","","","","","","","","","10.3390/antiox9090879"
364,"","","","","","","","","","","10.1123/ijspp.2018-0359"
367,"","","","","","","","","","","10.15562/bmj.v10i3.2741"
370,"","","","","","","","","","","10.2196/26006"
373,"","","","","","","","","","","10.1007/s00394-017-1525-9"
374,"","","","","","","","","","","10.1123/ijspp.2018-0433"
375,"","","","","","","","","","","10.3390/jcm11041086"
376,"","","","","","","","","","","10.3389/fphys.2018.01320"
378,"","","","","","","","","","","10.1002/oby.23252"
379,"","","","","","","","","","","10.1002/ehf2.13106"
