"sid","title","authors","year","doi","status","reason"
1,"A single dose of purple grape juice improves physical performance and antioxidant activity in runners: a randomized, crossover, double-blind, placebo study","de Lima Tavares Toscano L, Silva AS, de FranÃ§a ACL, de Sousa BRV, de Almeida Filho EJB, da Silveira Costa M, Marques ATB, da Silva DF, de Farias Sena K, Cerqueira GS, da ConceiÃ§Ã£o Rodrigues GonÃ§alves M.",2020,"10.1007/s00394-019-02139-6","excluded_fulltext","VO2 only estimated"
2,"High-throughput microrespirometric characterization of activated sludge inhibition by silver nanoparticles","Hernandez-Martinez, Gabriel R.; Zepeda, Alejandro; Ordaz, Alberto; Sanchez-Catzin, Luis A.; Estrada-Diaz, Zaira D.; Thalasso, Frederic",2018,"10.1039/c7ew00563f","excluded_abstract","reasearch not in humans"
3,"No significant effect of caffeine on five kilometer running performance after muscle damage","Al-Nawaiseh AM, Pritchett RC, Pritchett KK, Bataineh MF, Taifour AM, Bellar D, Schoeff MA, Fox B, Judge A, Judge LW.",2020,"10.1024/0300-9831/a000683","included",
4,"Aerobic capacity and respiratory patterns are better in recreational basketball-engaged university students than age-matched untrained males","Mikic, Mladen; Stojanovic, Marko D. M.; Milovancev, Aleksandra; Miljkovic, Tatjana; Bjelobrk, Marija; Golubovic, Miodrag; Maksimovic, Nebojsa; Bianco, Antonino; Drid, Patrik",2021,"10.2478/bhk-2021-0014","included",
5,"Visceral adipose tissue tracks more closely with metabolic dysfunction than intrahepatic triglyceride in lean Asians without diabetes","Ding, Cherlyn; Chan, Zhiling; Chooi, Yu Chung; Choo, John; Sadananthan, Suresh Anand; Michael, Navin; Velan, S. Sendhil; Leow, Melvin K. S.; Magkos, Faidon",2018,"10.1152/japplphysiol.00250.2018","included",
6,"Impact of Exercise Timing on Chemosensory Response, Appetite, and Energy Intake in Lean Males","Josaphat, Kapria-Jad; Drapeau, Vicky; Thivel, David; Mathieu, Marie-Eve",2020,"10.1123/ijsnem.2019-0237","included",
7,"Alpine Skiing as Winter-Time High-Intensity Training","StÃ¶ggl TL, Schwarzl C, MÃ¼ller EE, Nagasaki M, StÃ¶ggl J, SchÃ¶nfelder M, Niebauer J.",2017,"10.1249/MSS.0000000000001289","included",
8,"EFFECTS OF AEROBIC, RESISTANCE, AND COMBINED EXERCISE ON MARKERS OF MALE REPRODUCTION IN HEALTHY HUMAN SUBJECTS: A RANDOMIZED CONTROLLED TRIAL","Maleki, Behzad Hajizadeh; Tartibian, Bakhtyar; Chehrazi, Mohammad",2019,"10.1519/JSC.0000000000002389","excluded_fulltext","no appropriate test protocol (longer than 20 minutes)"
9,"Comparison of two warm-up models for obese and normal-weight adults performing supramaximal cycling exercise","Horia-Daniel, Iancu; Georges, Jabbour",2018,"10.5114/biolsport.2018.71487","included",
10,"EFFECTS OF TWO DIFFERENT TRAINING PERIODIZATION MODELS ON PHYSICAL AND PHYSIOLOGICAL ASPECTS OF ELITE FEMALE TEAM HANDBALL PLAYERS","Manchado, Carmen; Cortell-Tormo, Juan M.; Tortosa-Martinez, Juan",2018,"10.1519/JSC.0000000000002259","excluded_fulltext","report not retrieved"
11,"Exercise Intolerance in Patients with Chronic Iliocaval Venous Occlusion: Initial Experience with Noninvasive Exercise Testing before and after Intervention","Kaufman, John A.; Dimov, Ivan P.; Kuehl, Kerry; Kanable, Alex; Ballin, Jessica",2021,"10.1016/j.jvir.2020.03.028","excluded_fulltext","no appropriate test protocol (no exhaustion)"
12,"Associations of physical activity with cardiorespiratory fitness, muscle strength, and body composition","Davarzani S, Babaei N, Ebaditabar M, Djafarian K, Shab-Bidar S.",2020,"10.5114/pedm.2020.98718","excluded_fulltext","not in English"
13,"Physical activity, Mediterranean diet, maximal oxygen uptake and motivational climate towards sports in schoolchildren from the province of Granada: a structural equation model","Chacon Cuberos, Ramon; Muros Molina, Jose Joaquin; Cachon Zagalaz, Javier; Zagalaz Sanchez, Maria Luisa; Castro Sanchez, Manuel; Zurita Ortega, Felix",2018,"10.20960/nh.1511","included",
14,"Effect of carbohydrate ingestion on central fatigue during prolonged running exercise in moderate hypoxia","Paris, Hunter L.; Fulton, Timothy J.; Chapman, Robert F.; Fly, Alyce D.; Koceja, David M.; Mickleborough, Timothy D.",2019,"10.1152/japplphysiol.00684.2018","excluded_fulltext","VO2 only estimated"
15,"Effects of a 6-week Nordic walking training on changes in 25(OH)D blood concentration in women aged over 55","Pilch W, Tyka A, Cebula A, Åšliwicka E, PilaczyÅ„ska-SzczeÅ›niak Å, Tyka A.",2017,"10.23736/S0022-4707.16.05964-X","included",
16,"Validity of Heart Rate-Based Models for Estimating Oxygen Uptake During Tennis Play","Baiget, Ernest; Iglesias, Xavier; Rodriguez, Ferran A.",2020,"10.1519/JSC.0000000000002696","included",
