,id,i1,i2,result,decision,doi
1,1,NA,NA,NA,NA,10.1007/s00394-019-02139-6
2,2,h,h,h,h,10.1039/c7ew00563f
3,3,NA,NA,NA,NA,10.1024/0300-9831/a000683
4,4,NA,NA,NA,NA,10.2478/bhk-2021-0014
5,5,NA,NA,NA,NA,10.1152/japplphysiol.00250.2018
6,6,NA,NA,NA,NA,10.1123/ijsnem.2019-0237
7,7,NA,NA,NA,NA,10.1249/MSS.0000000000001289
8,8,NA,NA,NA,NA,10.1519/JSC.0000000000002389
9,9,NA,NA,NA,NA,10.5114/biolsport.2018.71487
10,10,NA,NA,NA,NA,10.1519/JSC.0000000000002259
11,11,NA,NA,NA,NA,10.1016/j.jvir.2020.03.028
12,12,NA,NA,NA,NA,10.5114/pedm.2020.98718
13,13,NA,NA,NA,NA,10.20960/nh.1511
14,14,NA,NA,NA,NA,10.1152/japplphysiol.00684.2018
15,15,NA,NA,NA,NA,10.23736/S0022-4707.16.05964-X
16,16,NA,m,XXX,NA,10.1519/JSC.0000000000002696
17,17,NA,NA,NA,NA,10.3389/fendo.2019.00116
18,18,NA,NA,NA,NA,10.1016/j.wem.2018.01.005
19,19,NA,m,XXX,NA,10.3390/life12020306
20,20,NA,NA,NA,NA,10.3390/app12031371
21,21,NA,NA,NA,NA,10.2478/bhk-2020-0006
22,22,r,r,r,r,10.1016/j.cct.2021.106286
23,23,h,h,h,h,10.1016/j.exger.2017.05.002
24,24,h,h,h,h,10.34172/bi.2020.32
25,25,NA,NA,NA,NA,10.3390/ijerph16173037
26,26,m,m,m,m,10.1111/jvh.13460
27,27,r,r,r,r,10.3389/fphys.2019.00205
28,28,NA,NA,NA,NA,10.1016/j.hlc.2018.12.007
29,29,NA,NA,NA,NA,10.1249/MSS.0000000000001985
30,30,NA,NA,NA,NA,10.1519/JSC.0000000000003437
31,31,NA,NA,NA,NA,10.3389/fphys.2021.701541
32,32,NA,NA,NA,NA,10.14814/phy2.14164
33,33,NA,NA,NA,NA,10.1080/00140139.2018.1473644
34,34,NA,NA,NA,NA,10.1038/s41598-018-35715-7
35,35,h,h,h,h,10.1007/s00360-019-01219-7
36,36,NA,NA,NA,NA,10.3390/healthcare9070851
37,37,NA,NA,NA,NA,10.3390/ijerph17114174
38,38,m,m,m,m,10.3390/sports7010006
39,39,NA,NA,NA,NA,10.1080/09638288.2016.1260648
40,40,NA,NA,NA,NA,10.5114/hpc.2021.107781
41,41,m,m,m,m,10.1111/apa.15163
42,42,m,m,m,m,10.1123/jsep.2020-0150
43,43,NA,NA,NA,NA,10.1038/s41598-019-54912-6
44,44,NA,NA,NA,NA,10.2478/bhk-2019-0023
45,45,NA,NA,NA,NA,10.1016/j.scispo.2018.04.004
46,46,NA,NA,NA,NA,10.22631/ijaep.v6i3.192
