id,abstract_exclusion
1,NA
2,h
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,m
17,NA
18,NA
19,m
20,NA
21,NA
22,r
23,h
24,h
25,NA
26,m
27,r
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,h
36,NA
37,NA
38,m
39,NA
40,NA
41,m
42,m
43,NA
44,NA
45,NA
46,NA
47,NA
48,m
49,r
50,NA
51,NA
52,NA
53,m
54,NA
55,NA
56,NA
57,m
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,r
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,m
75,NA
76,NA
77,NA
78,r
79,m
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,m
94,NA
95,NA
96,r
97,NA
98,NA
99,m
100,m
101,m
102,NA
103,NA
104,NA
105,NA
106,NA
107,h
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,h
116,m
117,NA
118,NA
119,NA
120,NA
121,NA
122,m
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,m
131,NA
132,m
133,NA
134,m
135,NA
136,NA
137,NA
138,m
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,m
149,m
150,NA
151,NA
152,m
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,m
163,NA
164,NA
165,m
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,r
181,NA
182,m
183,NA
184,NA
185,r
186,NA
187,NA
188,m
189,NA
190,NA
191,NA
192,NA
193,m
194,NA
195,h
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,h
203,NA
204,NA
205,NA
206,m
207,NA
208,m
209,NA
210,m
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,m
218,NA
219,NA
220,NA
221,m
222,m
223,NA
224,h
225,NA
226,NA
227,h
228,NA
229,NA
230,NA
231,NA
232,NA
233,r
234,NA
235,NA
236,NA
237,NA
238,r
239,NA
240,NA
241,NA
242,m
243,NA
244,NA
245,NA
246,NA
247,h
248,m
249,NA
250,r
251,NA
252,NA
253,NA
254,NA
255,NA
256,m
257,NA
258,m
259,r
260,NA
261,NA
262,l
263,NA
264,NA
265,m
266,NA
267,NA
268,NA
269,NA
270,m
271,NA
272,NA
273,NA
274,NA
275,m
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,m
285,NA
286,NA
287,NA
288,r
289,r
290,r
291,NA
292,NA
293,NA
294,m
295,NA
296,NA
297,r
298,m
299,m
300,NA
301,NA
302,NA
303,l
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,m
313,NA
314,NA
315,m
316,NA
317,r
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,m
325,NA
326,NA
327,NA
328,m
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,m
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,m
349,h
350,m
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,r
358,NA
359,m
360,NA
361,m
362,NA
363,m
364,NA
365,m
366,NA
367,NA
368,m
369,m
370,NA
371,r
372,NA
373,NA
374,NA
375,NA
376,NA
377,NA
378,NA
379,NA
380,NA
381,NA
382,NA
383,NA
384,NA
385,NA
386,NA
387,NA
388,h
389,NA
390,m
391,h
392,NA
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,h
401,m
402,m
403,NA
404,NA
405,NA
406,m
407,r
408,NA
409,NA
410,m
411,NA
412,h
413,NA
414,r
415,m
416,r
417,m
418,m
419,NA
420,NA
421,m
422,NA
423,NA
424,NA
425,NA
426,m
427,NA
428,NA
429,NA
430,r
431,NA
432,NA
433,NA
434,h
435,NA
436,NA
437,NA
438,NA
439,NA
440,r
441,NA
442,NA
443,NA
444,h
445,NA
446,NA
447,NA
448,NA
449,m
450,NA
451,h
452,NA
453,NA
454,NA
455,NA
456,m
457,NA
458,NA
459,m
460,NA
461,NA
462,m
463,NA
464,NA
465,m
466,NA
467,NA
468,m
469,NA
470,NA
471,r
472,r
473,NA
474,m
475,h
476,m
477,h
478,NA
479,NA
480,m
481,NA
482,NA
483,NA
484,m
485,NA
486,NA
487,h
488,NA
489,NA
490,r
491,m
492,NA
493,NA
494,r
495,NA
496,NA
497,NA
498,NA
499,NA
500,NA
