sid,i1,i2,result,decision,i1_note,i2_note,doi
1,m,m,m,m,,,10.1007/s00394-019-02139-6
3,t,t,t,t,,,10.1024/0300-9831/a000683
4,NA,NA,NA,NA,,,10.2478/bhk-2021-0014
5,NA,NA,NA,NA,d?,,10.1152/japplphysiol.00250.2018
6,NA,NA,NA,NA,,,10.1123/ijsnem.2019-0237
7,NA,NA,NA,NA,,,10.1249/MSS.0000000000001289
8,NA,NA,NA,NA,d?,,10.1519/JSC.0000000000002389
9,d,d,d,d,NA?,duration unclear,10.5114/biolsport.2018.71487
10,NA,NA,NA,NA,,,10.1519/JSC.0000000000002259
11,t,t,t,t,,,10.1016/j.jvir.2020.03.028
12,e,e,e,e,d?,,10.5114/pedm.2020.98718
13,l,l,l,l,,,10.20960/nh.1511
14,NA,NA,NA,NA,d?,duration unclear,10.1152/japplphysiol.00684.2018
15,m,m,m,m,extrapolation method,,10.23736/S0022-4707.16.05964-X
16,NA,NA,NA,NA,e? m?,,10.1519/JSC.0000000000002696
17,NA,NA,NA,NA,,duration unclear,10.3389/fendo.2019.00116
18,NA,NA,NA,NA,d?,,10.1016/j.wem.2018.01.005
19,r,e,XXX,r,Zweitverwertung,,10.3390/life12020306
20,NA,NA,NA,NA,,duration unclear,10.3390/app12031371
21,NA,NA,NA,NA,d?,duration unclear,10.2478/bhk-2020-0006
25,NA,NA,NA,NA,d?,duration unclear,10.3390/ijerph16173037
28,NA,NA,NA,NA,,duration unclear,10.1016/j.hlc.2018.12.007
29,NA,o,XXX,o,,no information on testing,10.1249/MSS.0000000000001985
30,NA,NA,NA,NA,,,10.1519/JSC.0000000000003437
31,NA,NA,NA,NA,,,10.3389/fphys.2021.701541
32,NA,NA,NA,NA,,,10.14814/phy2.14164
33,NA,NA,NA,NA,,duration unclear,10.1080/00140139.2018.1473644
34,o,NA,XXX,r,not protocol mentioned,,10.1038/s41598-018-35715-7
36,NA,NA,NA,NA,,,10.3390/healthcare9070851
37,NA,NA,NA,NA,,,10.3390/ijerph17114174
39,NA,NA,NA,NA,,,10.1080/09638288.2016.1260648
40,NA,NA,NA,NA,,,10.5114/hpc.2021.107781
43,NA,NA,NA,NA,d?,,10.1038/s41598-019-54912-6
44,NA,NA,NA,NA,,,10.2478/bhk-2019-0023
45,NA,NA,NA,NA,,,10.1016/j.scispo.2018.04.004
46,t,t,t,t,,,10.22631/ijaep.v6i3.192
47,NA,o,XXX,o,,no information on protocol,10.1519/JSC.0000000000003470
50,t,t,t,t,,,10.1183/13993003.congress-2019.PA4132
51,NA,NA,NA,NA,,,10.1016/j.resp.2018.07.013
52,d,NA,XXX,NA,NA?,duration unclear,10.1186/s12970-020-0341-4
54,e,NA,XXX,e,,,10.1080/09593985.2020.1825580
55,NA,NA,NA,NA,,,10.1002/ppul.23896
56,NA,NA,NA,NA,,,10.1111/sms.13223
58,m,m,m,m,,,10.1249/MSS.0000000000002321
59,NA,NA,NA,NA,,,10.1249/MSS.0000000000001377
60,NA,NA,NA,NA,,,10.1371/journal.pone.0183926
61,m,m,m,m,,,10.1186/s12877-021-02128-7
62,NA,e,XXX,e,,,10.1007/s00246-021-02806-8
63,NA,NA,NA,NA,,,10.23736/S0022-4707.19.09912-2
64,NA,NA,NA,NA,e?,,10.3389/fpsyg.2017.01344
66,NA,NA,NA,NA,,,10.1177/0031512518754584
67,NA,NA,NA,NA,,,10.12965/jer.1836454.227
68,o,o,o,o,nichts beschrieben!,no information on testing,10.23736/S0022-4707.21.12236-4
69,l,l,l,l,,,10.14529/hsm170401
70,NA,NA,NA,NA,d?,,10.1139/apnm-2018-0427
71,o,e,XXX,e,six min walk test,,10.1016/j.ijnurstu.2019.103418
72,e,c,XXX,c,,,10.1007/s00421-018-3993-x
73,NA,NA,NA,NA,,,10.1111/sms.13886
75,l,l,l,l,,,10.12873/393robles
76,NA,NA,NA,NA,,,10.1519/JSC.0000000000003837
77,NA,NA,NA,NA,,,10.1016/j.jtherbio.2018.10.004
80,NA,NA,NA,NA,,duration unclear,10.1016/j.jsams.2017.08.005
81,o,o,o,o,heat conditions,no information on testing,10.1016/j.ssci.2021.105328
83,NA,NA,NA,NA,,,10.1111/sms.12854
84,m,e,XXX,m,post-exercise,,10.1155/2020/2073803
85,m,o,XXX,m,,no information on testing,10.1080/00140139.2018.1497207
86,NA,d,XXX,d,,duration unclear,10.1016/j.bone.2021.116102
87,NA,NA,NA,NA,,,10.1111/anec.12521
88,r,r,r,r,Zweitverwertung,no information on testing,10.1007/s00438-019-01639-8
89,NA,NA,NA,NA,,,10.1139/apnm-2020-0307
90,NA,NA,NA,NA,,,10.1016/j.physbeh.2020.113110
91,o,o,o,o,no description,no information on testing,10.31901/24566330.2020/20.03.759
92,r,o,XXX,r,Zweitverwertung,no information on testing,10.1016/j.annepidem.2017.08.011
94,NA,NA,NA,NA,,,10.3390/app9030589
95,NA,NA,NA,NA,,,10.3390/nu9080820
97,e,o,XXX,e,m? o? six min walk test,no information on testing,10.1111/joic.12531
98,m,m,m,m,,,10.1002/hpja.2
99,m,m,m,m,,,10.1590/1806-9282.66.5.600
102,m,NA,XXX,r,r?,,10.1016/j.jpsychires.2019.03.011
104,NA,d,XXX,d,,,10.33549/physiolres.934114
105,NA,NA,NA,NA,,duration unclear,10.1186/s13102-021-00375-0
106,m,NA,XXX,m,Montreal Track tests,duration unclear,10.3389/fphys.2020.579835
108,NA,NA,NA,NA,,,10.1016/j.jshs.2017.01.009
109,d,d,d,d,GXT,duration unclear,10.1123/ijspp.2020-0923
110,t,t,t,t,,,10.1123/ijsnem.2020-0265
111,NA,NA,NA,NA,,,10.1152/japplphysiol.00131.2019
112,NA,NA,NA,NA,d?,duration unclear,10.3389/fphys.2017.00175
113,NA,NA,NA,NA,,,10.3233/IES-192229
114,NA,NA,NA,NA,,,10.1194/jlr.M091942
