PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35288850","The relationship between multiple perfluoroalkyl substances and cardiorespiratory fitness in male adolescents","Zeng G, Zhang Q, Wang X, Wu KH.","Environ Sci Pollut Res Int. 2022 Mar 14. doi: 10.1007/s11356-022-19685-y. Online ahead of print.","Zeng G","Environ Sci Pollut Res Int","2022","2022/03/15","","","10.1007/s11356-022-19685-y"
"35287112","Anthocyanin-Rich Blackcurrant Extract Preserves Gastrointestinal Barrier Permeability and Reduces Enterocyte Damage but Has No Effect on Microbial Translocation and Inflammation After Exertional Heat Stress","Lee BJ, Flood TR, Hiles AM, Walker EF, Wheeler LEV, Ashdown KM, Willems MET, Costello R, Greisler LD, Romano PA, Hill GW, Kuennen MR.","Int J Sport Nutr Exerc Metab. 2022 Mar 14:1-10. doi: 10.1123/ijsnem.2021-0330. Online ahead of print.","Lee BJ","Int J Sport Nutr Exerc Metab","2022","2022/03/14","","","10.1123/ijsnem.2021-0330"
"35285178","Feasibility of critical care ergometry: Exercise data of patients on mechanical ventilation analyzed as nine-panel plots","van den Oever HLA, Kök M, Oosterwegel A, Klooster E, Zoethout S, Ruessink E, Langeveld B.","Physiol Rep. 2022 Mar;10(5):e15213. doi: 10.14814/phy2.15213.","van den Oever HLA","Physiol Rep","2022","2022/03/14","","","10.14814/phy2.15213"
"35278203","Impact of exercise interventions on physical fitness in breast cancer patients and survivors: a systematic review","Ficarra S, Thomas E, Bianco A, Gentile A, Thaller P, Grassadonio F, Papakonstantinou S, Schulz T, Olson N, Martin A, Wagner C, Nordström A, Hofmann H.","Breast Cancer. 2022 Mar 12. doi: 10.1007/s12282-022-01347-z. Online ahead of print.","Ficarra S","Breast Cancer","2022","2022/03/12","","","10.1007/s12282-022-01347-z"
"35274014","The Cardiac Dysfunction Caused by Metabolic Alterations in Alzheimer's Disease","Murphy J, Le TNV, Fedorova J, Yang Y, Krause-Hauch M, Davitt K, Zoungrana LI, Fatmi MK, Lesnefsky EJ, Li J, Ren D.","Front Cardiovasc Med. 2022 Feb 22;9:850538. doi: 10.3389/fcvm.2022.850538. eCollection 2022.","Murphy J","Front Cardiovasc Med","2022","2022/03/11","PMC8902161","","10.3389/fcvm.2022.850538"
"35270295","HIIE Protocols Promote Better Acute Effects on Blood Glucose and Pressure Control in People with Type 2 Diabetes than Continuous Exercise","Teles GO, Gentil P, Silva LRBE, Sousa WM, Seguro CS, Rebelo ACS.","Int J Environ Res Public Health. 2022 Feb 24;19(5):2601. doi: 10.3390/ijerph19052601.","Teles GO","Int J Environ Res Public Health","2022","2022/03/10","PMC8909767","","10.3390/ijerph19052601"
"35270278","A Study on the Preliminary Validity Analysis of Korean Firefighter Job-Related Physical Fitness Test","Cho EH, Nam JH, Shin SA, Lee JB.","Int J Environ Res Public Health. 2022 Feb 23;19(5):2587. doi: 10.3390/ijerph19052587.","Cho EH","Int J Environ Res Public Health","2022","2022/03/10","PMC8909586","","10.3390/ijerph19052587"
"35268421","A Better Cardiopulmonary Fitness Is Associated with Improved Concentration Level and Health-Related Quality of Life in Primary School Children","Köble K, Postler T, Oberhoffer-Fritz R, Schulz T.","J Clin Med. 2022 Feb 28;11(5):1326. doi: 10.3390/jcm11051326.","Köble K","J Clin Med","2022","2022/03/10","PMC8911456","","10.3390/jcm11051326"
"35262762","Active vs. passive recovery during an aerobic interval training session in well-trained runners","Sánchez-Otero T, Tuimil JL, Boullosa D, Varela-Sanz A, Iglesias-Soler E.","Eur J Appl Physiol. 2022 Mar 9. doi: 10.1007/s00421-022-04926-2. Online ahead of print.","Sánchez-Otero T","Eur J Appl Physiol","2022","2022/03/09","","","10.1007/s00421-022-04926-2"
"35259399","The impact of type-2 diabetes mellitus on cardiac rehabilitation outcomes: a meta-analysis","Bluhm ML, Hoehing KN, Nelson RK, Zuhl MN.","Arch Phys Med Rehabil. 2022 Mar 5:S0003-9993(22)00260-X. doi: 10.1016/j.apmr.2022.01.167. Online ahead of print.","Bluhm ML","Arch Phys Med Rehabil","2022","2022/03/08","","","10.1016/j.apmr.2022.01.167"
"35258271","Validity of the 6-Minute Walk Test and YMCA Submaximal Cycle Test During Midpregnancy","Tinius RA, Blankenship M, Maples JM, Pitts BC, Furgal K, Norris ES, Hoover DL, Olenick A, Lambert J, Cade WT.","J Strength Cond Res. 2021 Nov 1;35(11):3236-3242. doi: 10.1519/JSC.0000000000003263.","Tinius RA","J Strength Cond Res","2021","2022/03/08","PMC8904937","NIHMS1529585","10.1519/JSC.0000000000003263"
"35255803","Gene therapy of yeast NDI1 on mitochondrial complex I dysfunction in rotenone-induced Parkinson's disease models in vitro and vivo","Li H, Sun B, Huang Y, Zhang J, Xu X, Shen Y, Chen Z, Yang J, Shen L, Hu Y, Gu H.","Mol Med. 2022 Mar 7;28(1):29. doi: 10.1186/s10020-022-00456-x.","Li H","Mol Med","2022","2022/03/08","","","10.1186/s10020-022-00456-x"
"35253692","Cardiorespiratory fitness in police recruits: Assessing the validity of the 20-meter shuttle run test for recruitment purposes","Poirier S, Gendron A, Trudeau F, Lajoie C.","Work. 2022 Mar 3. doi: 10.3233/WOR-205289. Online ahead of print.","Poirier S","Work","2022","2022/03/07","","","10.3233/WOR-205289"
"35252618","Anthropometry, body composition, and athletic performance in specific field tests in Paralympic athletes with different disabilities","Cherif M, Said MA, Bannour K, Alhumaid MM, Chaifa MB, Khammassi M, Aouidet A.","Heliyon. 2022 Feb 25;8(3):e09023. doi: 10.1016/j.heliyon.2022.e09023. eCollection 2022 Mar.","Cherif M","Heliyon","2022","2022/03/07","PMC8889346","","10.1016/j.heliyon.2022.e09023"
"35250845","Effect of Moderate Aerobic Exercise on Complement Activation Pathways in Polycystic Ovary Syndrome Women","Ramanjaneya M, Abdalhakam I, Bettahi I, Bensila M, Jerobin J, Aye MM, Alkasem M, Sathyapalan T, Atkin SL, Abou-Samra AB.","Front Endocrinol (Lausanne). 2022 Feb 17;12:740703. doi: 10.3389/fendo.2021.740703. eCollection 2021.","Ramanjaneya M","Front Endocrinol (Lausanne)","2022","2022/03/07","PMC8892582","","10.3389/fendo.2021.740703"
"35250602","Comparison of Physiological and Perceptional Responses to 5-m Forward, Forward-Backward, and Lateral Shuttle Running","Gao C, Wang X, Zhang G, Huang L, Han M, Li B, Nassis GP, Li Y.","Front Physiol. 2022 Feb 17;12:780699. doi: 10.3389/fphys.2021.780699. eCollection 2021.","Gao C","Front Physiol","2022","2022/03/07","PMC8892136","","10.3389/fphys.2021.780699"
"35250337","Physiological and Performance Correlates of Squash Physical Performance","James C, Jones T, Farra S.","J Sports Sci Med. 2022 Feb 15;21(1):82-90. doi: 10.52082/jssm.2022.82. eCollection 2022 Mar.","James C","J Sports Sci Med","2022","2022/03/07","PMC8851109","","10.52082/jssm.2022.82"
"35247832","The objectively measured physical work demands and physical capacity of offshore wind technicians: An observational field study","Oestergaard AS, Gupta N, Smidt TF, Sandal LF, Søgaard K.","Appl Ergon. 2022 Mar 2;102:103716. doi: 10.1016/j.apergo.2022.103716. Online ahead of print.","Oestergaard AS","Appl Ergon","2022","2022/03/05","","","10.1016/j.apergo.2022.103716"
"35247825","The impact of different step rate threshold methods on physical activity intensity in older adults","O'Brien MW, Petterson JL, Johns JA, Mekary S, Kimmerly DS.","Gait Posture. 2022 Feb 25;94:51-57. doi: 10.1016/j.gaitpost.2022.02.030. Online ahead of print.","O'Brien MW","Gait Posture","2022","2022/03/05","","","10.1016/j.gaitpost.2022.02.030"
"35246949","Physiological role of anticipatory cardiorespiratory responses to exercise","Miyamoto T, Sotobayashi D, Ito G, Kawai E, Nakahara H, Ueda S, Toyama T, Saku K, Nakanishi Y, Kinoshita H.","Physiol Rep. 2022 Mar;10(5):e15210. doi: 10.14814/phy2.15210.","Miyamoto T","Physiol Rep","2022","2022/03/05","PMC8897741","","10.14814/phy2.15210"
"35245896","Relationship of Fitness Combine Results and National Hockey League Performance: A 25-Year Analysis","Cohen JN, Thompson KMA, Jamnik VK, Gledhill N, Burr JF.","Int J Sports Physiol Perform. 2022 Mar 3:1-9. doi: 10.1123/ijspp.2021-0317. Online ahead of print.","Cohen JN","Int J Sports Physiol Perform","2022","2022/03/04","","","10.1123/ijspp.2021-0317"
"35244804","Association Between Physical Exercise Interventions Participation and Functional Capacity in Individuals with Type 2 Diabetes: A Systematic Review and Meta-Analysis of Controlled Trials","Pfeifer LO, De Nardi AT, da Silva LXN, Botton CE, do Nascimento DM, Teodoro JL, Schaan BD, Umpierre D.","Sports Med Open. 2022 Mar 4;8(1):34. doi: 10.1186/s40798-022-00422-1.","Pfeifer LO","Sports Med Open","2022","2022/03/04","PMC8897547","","10.1186/s40798-022-00422-1"
